Open_time,시가,고가,저가,종가,거래량,거래대금,거래횟수,매수_기본_자산_거래량,매수_상대_자산_거래대금
2022-09-12,21826.87,22488.0,21538.51,22395.74,395395.62,8743762682.84,6979539,199489.54,4411479060.2
2022-09-13,22395.44,22799.0,19860.0,20173.57,431915.03,9302239274.4,8126869,217144.54,4679543994.69
2022-09-14,20173.62,20541.48,19617.62,20226.71,340826.4,6886235196.65,6313052,169670.53,3428396493.97
2022-09-15,20227.17,20330.24,19497.0,19701.88,333069.76,6655264974.21,6690974,165652.73,3310217929.74
2022-09-16,19701.88,19890.0,19320.01,19803.3,283791.07,5584012914.11,5120935,141085.21,2776292772.19
2022-09-17,19803.3,20189.0,19748.08,20113.62,179350.24,3578667842.7,3862666,89621.59,1788389852.3
2022-09-18,20112.61,20117.26,19335.62,19416.18,254217.47,5033968947.53,4634096,124480.6,2465062845.97
2022-09-19,19417.45,19686.2,18232.56,19537.02,380512.4,7215196795.66,6820580,189241.29,3589311748.61
2022-09-20,19537.02,19634.62,18711.87,18875.0,324098.33,6206043205.41,5900070,160716.33,3077612901.15
2022-09-21,18874.31,19956.0,18125.98,18461.36,385034.1,7338667639.75,6907777,190299.47,3628361586.91
2022-09-22,18461.36,19550.17,18356.39,19401.63,379321.72,7203741481.48,6251862,190987.32,3627123696.69
2022-09-23,19401.63,19500.0,18531.42,19289.91,385886.92,7330336009.19,5906265,194842.09,3701394516.77
2022-09-24,19288.57,19316.14,18805.34,18920.5,239496.57,4568927983.65,3907636,120501.31,2298979763.31
2022-09-25,18921.99,19180.21,18629.2,18807.38,191191.45,3625136713.92,3714450,94989.4,1801229611.98
2022-09-26,18809.13,19318.96,18680.72,19227.82,439239.22,8356951610.0,5837041,220623.3,4198006044.88
2022-09-27,19226.68,20385.86,18816.32,19079.13,593260.74,11705770260.67,8152473,296727.71,5856646101.5
2022-09-28,19078.1,19790.0,18471.28,19412.82,521385.46,9964460007.3,7357437,260944.38,4988233394.32
2022-09-29,19412.82,19645.52,18843.01,19591.51,406424.93,7868786414.86,5631615,203187.58,3934342925.09
2022-09-30,19590.54,20185.0,19155.36,19422.61,444322.95,8694127253.58,6254203,220029.85,4304848630.33
2022-10-01,19422.61,19484.0,19159.42,19310.95,165625.14,3200350294.53,2470590,82734.18,1598688567.59
2022-10-02,19312.24,19395.91,18920.35,19056.8,206812.47,3970724799.96,3320217,102972.16,1977186000.2
2022-10-03,19057.74,19719.1,18959.68,19629.08,293585.75,5672105805.77,4471910,147383.94,2847846726.24
2022-10-04,19629.08,20475.0,19490.6,20337.82,327012.0,6533428229.85,4871932,165646.26,3309936012.95
2022-10-05,20337.82,20365.6,19730.0,20158.26,312239.75,6275437160.96,4540004,155249.45,3120338866.33
2022-10-06,20158.26,20456.6,19853.0,19960.67,320122.17,6452892402.32,5085004,161557.9,3256881316.72
2022-10-07,19960.67,20068.82,19320.0,19530.09,220874.84,4353681483.99,4324772,109800.5,2164491136.48
2022-10-08,19530.09,19627.38,19237.14,19417.96,102480.1,1995917001.74,2637385,50775.11,988952773.22
2022-10-09,19416.52,19558.0,19316.04,19439.02,113900.83,2215007204.24,2833704,57166.26,1111737800.17
2022-10-10,19439.96,19525.0,19020.25,19131.87,212509.1,4101745483.13,4432688,104849.41,2023908022.74
2022-10-11,19131.87,19268.09,18860.0,19060.0,243473.84,4642843395.6,4792106,121218.68,2311676809.24
2022-10-12,19060.0,19238.31,18965.88,19155.53,213826.27,4086903621.93,4556597,106608.72,2037738508.16
2022-10-13,19155.1,19513.79,18190.0,19375.13,399756.68,7554309475.31,7470896,199869.16,3777964473.26
2022-10-14,19375.58,19951.87,19070.37,19176.93,351634.33,6877621835.23,6688310,175798.37,3438783886.91
2022-10-15,19176.93,19227.68,18975.18,19069.39,113847.64,2178316065.62,3052219,56109.0,1073637476.77
2022-10-16,19068.4,19425.84,19063.74,19262.98,131894.62,2531545363.31,3438605,66536.8,1277129233.66
2022-10-17,19262.98,19676.96,19152.03,19549.86,222813.88,4331666395.6,5162979,111854.01,2174642989.59
2022-10-18,19548.48,19706.66,19091.0,19327.44,260313.08,5065944973.46,5588482,129478.26,2520037025.61
2022-10-19,19327.44,19360.16,19065.97,19123.97,186137.3,3575041318.45,4545820,92346.11,1773769908.89
2022-10-20,19123.35,19347.82,18900.0,19041.92,223530.13,4276025723.99,5391090,110662.16,2117089562.36
